Draft Year,Pick #,Player,Experience Level,Player Name,Position,Lane Agility,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Bench Press,Season Year
2014,7,Julius Randle,Freshman,Julius Randle,PF,11.45,3.14,3.27,29.0,35.5,-,2014-15
2014,8,Nik Stauskas,Sophomore,Nik Stauskas,SG,10.79,2.92,3.27,29.0,35.5,-,2014-15
2014,9,Noah Vonleh,Freshman,Noah Vonleh,PF,11.45,3.29,3.28,31.0,37.0,-,2014-15
2014,10,Elfrid Payton,Junior,Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5,-,2014-15
2014,11,Doug McDermott,Senior,Doug McDermott,SF,11.10,3.15,3.29,28.5,36.5,-,2014-15
2014,13,Zach LaVine,Freshman,Zach LaVine,PG,10.42,2.80,3.19,33.5,41.5,-,2014-15
2014,14,T.J. Warren,Sophomore,T.J. Warren,SF,11.10,3.04,3.26,27.0,35.5,-,2014-15
2014,15,Adreian Payne,Senior,Adreian Payne,PF,-,-,-,-,-,-,2014-15
2013,2,Victor Oladipo,Junior,Victor Oladipo,SG,10.69,3.14,3.25,33.0,42.0,15,2013-14
2013,3,Otto Porter,Sophomore,Otto Porter,SF,11.25,3.06,3.40,27.0,36.0,9,2013-14
2013,4,Cody Zeller,Sophomore,Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,17,2013-14
2013,5,Alex Len,Sophomore,Alex Len,C,-,-,-,-,-,-,2013-14
2013,6,Nerlens Noel,Freshman,Nerlens Noel,C,-,-,-,-,-,-,2013-14
2013,7,Ben McLemore,Freshman,Ben McLemore,SG,11.87,3.11,3.27,32.5,42.0,6,2013-14
2013,9,Trey Burke,Sophomore,Trey Burke,PG,11.20,3.01,3.16,29.5,36.5,3,2013-14
2013,10,CJ McCollum,Senior,CJ McCollum,PG-SG,11.02,2.91,3.32,32.0,38.5,13,2013-14
2013,12,Steven Adams,Freshman,Steven Adams,C,11.85,3.02,3.40,28.5,33.0,16,2013-14
2013,13,Kelly Olynyk,Junior,Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,5,2013-14
2013,14,Shabazz Muhammad,Freshman,Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37.0,10,2013-14
2012,1,Anthony Davis,Freshman,Anthony Davis,PF-C,-,-,-,-,-,-,2012-13
2012,2,Michael Kidd-Gilchrist,Freshman,Michael Kidd-Gilchrist,SF,11.77,-,3.18,32.0,35.5,6,2012-13
2012,3,Bradley Beal,Freshman,Bradley Beal,SG,10.95,-,3.28,33.0,39.0,8,2012-13
2012,4,Dion Waiters,Sophomore,Dion Waiters,SG,-,-,-,-,-,-,2012-13
2012,5,Thomas Robinson,Junior,Thomas Robinson,PF,11.96,-,3.17,28.5,35.5,15,2012-13
2012,6,Damian Lillard,Senior,Damian Lillard,PG,11.15,-,3.34,34.5,39.5,13,2012-13
2012,7,Harrison Barnes,Sophomore,Harrison Barnes,SF-SG,10.93,-,3.16,38.0,39.5,15,2012-13
2012,8,Terrence Ross,Sophomore,Terrence Ross,SG-SF,11.78,-,3.28,31.0,37.5,2,2012-13
2012,9,Andre Drummond,Freshman,Andre Drummond,C,10.83,-,3.39,31.5,33.5,10,2012-13
2012,10,Austin Rivers,Freshman,Austin Rivers,SG-PG,11.54,-,3.32,32.5,37.5,1,2012-13
2012,11,Meyers Leonard,Sophomore,Meyers Leonard,C,11.34,-,3.41,30.0,32.5,19,2012-13
2012,12,Jeremy Lamb,Sophomore,Jeremy Lamb,SG,10.98,-,3.25,31.5,38.0,5,2012-13
2012,13,Kendall Marshall,Sophomore,Kendall Marshall,PG,12.03,-,3.23,31.0,37.0,-,2012-13
2012,14,John Henson,Junior,John Henson,PF,-,-,-,25.5,30.0,5,2012-13
2012,15,Maurice Harkless,Freshman,Maurice Harkless,SF,10.87,-,3.25,32.5,37.0,5,2012-13
2011,1,Kyrie Irving,Freshman,Kyrie Irving,PG,-,-,-,-,-,-,2011-12
2011,2,Derrick Williams,Sophomore,Derrick Williams,PF-SF,11.03,-,3.23,29.0,34.5,19,2011-12
2011,3,Enes Kanter,Freshman,Enes Kanter,PF-C,11.30,-,3.26,26.0,32.5,14,2011-12
2011,4,Tristan Thompson,Freshman,Tristan Thompson,PF,10.92,-,3.26,30.0,35.0,9,2011-12
2011,8,Brandon Knight,Freshman,Brandon Knight,PG,10.74,-,3.07,29.0,37.5,10,2011-12
2011,9,Kemba Walker,Junior,Kemba Walker,PG,10.87,-,3.16,32.0,39.5,7,2011-12
2011,11,Klay Thompson,Junior,Klay Thompson,SG,10.99,-,3.24,26.5,31.5,5,2011-12
2011,12,Alec Burks,Sophomore,Alec Burks,SG,10.96,-,3.17,29.0,36.0,5,2011-12
2011,13,Markieff Morris,Junior,Markieff Morris,PF,-,-,3.40,27.0,31.5,11,2011-12
2011,14,Marcus Morris,Junior,Marcus Morris,PF-SF,-,-,3.15,29.0,33.0,11,2011-12
2011,15,Kawhi Leonard,Sophomore,Kawhi Leonard,SF,11.45,-,3.15,25.5,32.0,3,2011-12
2010,1,John Wall,Freshman,John Wall,PG,10.84,-,3.14,30.0,39.0,-,2010-11
2010,2,Evan Turner,Junior,Evan Turner,SG,11.06,-,3.27,27.5,34.5,9,2010-11
2010,3,Derrick Favors,Freshman,Derrick Favors,PF,11.74,-,3.25,31.5,35.5,14,2010-11
2010,4,Wesley Johnson,Junior,Wesley Johnson,SF,11.43,-,3.14,32.0,37.0,16,2010-11
2010,5,DeMarcus Cousins,Freshman,DeMarcus Cousins,C,11.40,-,3.55,23.5,27.5,-,2010-11
2010,6,Ekpe Udoh,Junior,Ekpe Udoh,PF,11.15,-,3.29,31.0,33.5,10,2010-11
2010,7,Greg Monroe,Sophomore,Greg Monroe,PF-C,12.10,-,3.35,25.0,29.0,15,2010-11
2010,8,Al-Farouq Aminu,Sophomore,Al-Farouq Aminu,SF,11.29,-,3.30,27.0,33.5,13,2010-11
2010,9,Gordon Hayward,Sophomore,Gordon Hayward,SF,11.73,-,3.22,30.5,34.5,10,2010-11
2010,10,Paul George,Sophomore,Paul George,SF,-,-,-,-,-,4,2010-11
2010,11,Cole Aldrich,Junior,Cole Aldrich,C,11.48,-,3.35,23.0,28.0,10,2010-11
2010,12,Xavier Henry,Freshman,Xavier Henry,SG,11.10,-,3.18,28.5,36.5,8,2010-11
2010,13,Ed Davis,Sophomore,Ed Davis,PF,11.70,-,3.21,31.0,36.0,-,2010-11
2010,14,Patrick Patterson,Junior,Patrick Patterson,PF,11.14,-,3.25,28.5,33.5,17,2010-11
2010,15,Larry Sanders,Junior,Larry Sanders,PF-C,12.49,-,3.27,25.5,28.0,7,2010-11
2009,1,Blake Griffin,Sophomore,Blake Griffin,PF,10.95,-,3.28,32.0,35.5,22,2009-10
2009,2,Hasheem Thabeet,Junior,Hasheem Thabeet,C,-,-,-,-,-,-,2009-10
2009,3,James Harden,Sophomore,James Harden,SG,11.10,-,3.13,31.5,37.0,17,2009-10
2009,4,Tyreke Evans,Freshman,Tyreke Evans,PG-SG,11.81,-,3.17,28.5,34.0,7,2009-10
2009,6,Jonny Flynn,Sophomore,Jonny Flynn,PG,10.86,-,3.23,33.0,40.0,10,2009-10
2009,7,Stephen Curry,Junior,Stephen Curry,PG-SG,11.07,-,3.28,29.5,35.5,10,2009-10
2009,8,Jordan Hill,Junior,Jordan Hill,PF-C,12.23,-,3.30,31.0,35.0,11,2009-10
2009,9,DeMar DeRozan,Freshman,DeMar DeRozan,SG-SF,11.88,-,3.31,29.0,38.5,5,2009-10
2009,11,Terrence Williams,Senior,Terrence Williams,SG-SF,11.15,-,3.18,30.5,37.0,9,2009-10
2009,12,Gerald Henderson,Junior,Gerald Henderson,SG-SF,11.17,-,3.14,31.5,35.0,8,2009-10
2009,13,Tyler Hansbrough,Senior,Tyler Hansbrough,PF,11.12,-,3.27,27.5,34.0,18,2009-10
2009,14,Earl Clark,Junior,Earl Clark,SF-PF,11.17,-,3.35,28.5,33.0,5,2009-10
2009,15,Austin Daye,Sophomore,Austin Daye,SF-PF,12.11,-,3.55,25.0,28.0,-,2009-10
2008,1,Derrick Rose,Freshman,Derrick Rose,PG,11.69,-,3.05,34.5,40.0,10,2008-09
2008,2,Michael Beasley,Freshman,Michael Beasley,PF-SF,11.06,-,3.24,30.0,35.0,19,2008-09
2008,3,O.J. Mayo,Freshman,O.J. Mayo,SG-PG,11.04,-,3.14,30.5,41.0,7,2008-09
2008,4,Russell Westbrook,Sophomore,Russell Westbrook,PG,10.98,-,3.08,30.0,36.5,12,2008-09
2008,5,Kevin Love,Freshman,Kevin Love,PF,11.17,-,3.22,29.5,35.0,18,2008-09
2008,7,Eric Gordon,Freshman,Eric Gordon,SG,10.81,-,3.01,32.0,40.0,15,2008-09
2008,8,Joe Alexander,Junior,Joe Alexander,SF-PF,11.33,-,2.99,32.5,38.5,24,2008-09
2008,9,D.J. Augustin,Sophomore,D.J. Augustin,PG,11.27,-,3.07,28.5,35.0,2,2008-09
2008,10,Brook Lopez,Sophomore,Brook Lopez,C,12.77,-,3.57,27.5,30.5,7,2008-09
2008,11,Jerryd Bayless,Freshman,Jerryd Bayless,PG-SG,11.26,-,3.07,31.0,38.0,10,2008-09
2008,14,Anthony Randolph,Freshman,Anthony Randolph,PF-SF,11.86,-,3.26,29.0,35.0,7,2008-09
2007,1,Greg Oden,2007,Greg Oden,C,11.67,-,3.27,32.0,34.0,-,2007-08
2007,2,Kevin Durant,Freshman,Kevin Durant,SF-PF,12.33,-,3.45,26.0,33.5,-,2007-08
2007,3,Al Horford,Junior,Al Horford,PF,12.15,-,3.37,31.0,35.5,20,2007-08
2007,4,Mike Conley,Freshman,Mike Conley,PG,11.63,-,3.09,35.5,40.5,13,2007-08
2007,5,Jeff Green,Junior,Jeff Green,SF,12.00,-,3.34,33.5,38.0,17,2007-08
2007,7,Corey Brewer,Junior,Corey Brewer,SF-SG,11.69,-,3.22,30.5,36.5,11,2007-08
2007,8,Brandan Wright,Freshman,Brandan Wright,PF,11.76,-,3.31,30.5,35.5,2,2007-08
2007,9,Joakim Noah,Junior,Joakim Noah,PF,11.79,-,3.47,32.5,37.5,12,2007-08
2007,10,Spencer Hawes,Freshman,Spencer Hawes,PF,11.88,-,3.51,26.0,29.0,9,2007-08
2007,11,Acie Law,Senior,Acie Law,PG,11.00,-,3.22,29.0,34.0,8,2007-08
2007,12,Thaddeus Young,Freshman,Thaddeus Young,SF,11.06,-,3.19,34.5,37.0,13,2007-08
2007,13,Julian Wright,Sophomore,Julian Wright,SF-PF,11.48,-,3.36,28.5,33.5,2,2007-08
2007,14,Al Thornton,Senior,Al Thornton,SF,11.96,-,3.16,35.0,41.0,9,2007-08
2007,15,Rodney Stuckey,Sophomore,Rodney Stuckey,SG-PG,11.34,-,3.11,30.5,35.0,14,2007-08
2006,2,LaMarcus Aldridge,Sophomore,LaMarcus Aldridge,PF-C,12.02,-,3.43,26.5,34.0,8,2006-07
2006,3,Adam Morrison,Junior,Adam Morrison,SF,11.46,-,3.37,25.5,30.5,11,2006-07
2006,4,Tyrus Thomas,Freshman,Tyrus Thomas,PF-SF,11.36,-,3.20,34.0,39.5,8,2006-07
